,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds.1,TD.1,College/Univ,PFR_URL,Height,Weight
0,2019,1,25,Marquise Brown,WR,22.0,BAL,2019.0,2019.0,0,0,1,0.0,5.0,4.0,,,,21.0,326.0,3.0,Oklahoma,http://www.pro-football-reference.com/players/B/BrowMa04.htm,69,170
2,2019,2,36,Deebo Samuel,WR,23.0,SFO,2019.0,2019.0,0,0,0,0.0,6.0,3.0,5.0,37.0,1.0,18.0,187.0,1.0,South Carolina,http://www.pro-football-reference.com/players/S/SamuDe00.htm,71,214
3,2019,2,51,A.J. Brown,WR,22.0,TEN,2019.0,2019.0,0,0,1,0.0,8.0,5.0,1.0,-2.0,0.0,22.0,348.0,3.0,Mississippi,http://www.pro-football-reference.com/players/B/BrowAJ00.htm,72,226
4,2019,2,56,Mecole Hardman,WR,21.0,KAN,2019.0,2019.0,0,0,0,0.0,8.0,3.0,2.0,1.0,0.0,20.0,374.0,4.0,Georgia,http://www.pro-football-reference.com/players/H/HardMe00.htm,70,187
5,2019,2,57,JJ Arcega-Whiteside,WR,22.0,PHI,2019.0,2019.0,0,0,0,0.0,8.0,1.0,,,,2.0,14.0,0.0,Stanford,http://www.pro-football-reference.com/players/A/ArceJJ00.htm,74,225
6,2019,2,59,Parris Campbell,WR,22.0,IND,2019.0,2019.0,0,0,0,0.0,5.0,1.0,1.0,7.0,0.0,10.0,62.0,1.0,Ohio St.,http://www.pro-football-reference.com/players/C/CampPa00.htm,72,205
7,2019,2,62,Andy Isabella,WR,22.0,ARI,2019.0,2019.0,0,0,0,0.0,7.0,1.0,3.0,16.0,0.0,2.0,8.0,0.0,Massachusetts,http://www.pro-football-reference.com/players/I/IsabAn00.htm,69,188
8,2019,2,64,D.K. Metcalf,WR,21.0,SEA,2019.0,2019.0,0,0,1,0.0,8.0,7.0,1.0,4.0,0.0,23.0,402.0,4.0,Mississippi,http://www.pro-football-reference.com/players/M/MetcDK00.htm,76,229
9,2019,3,66,Diontae Johnson,WR,23.0,PIT,2019.0,2019.0,0,0,1,0.0,7.0,5.0,1.0,6.0,0.0,25.0,296.0,3.0,Toledo,http://www.pro-football-reference.com/players/J/JohnDi01.htm,70,183
11,2019,3,76,Terry McLaurin,WR,23.0,WAS,2019.0,2019.0,0,0,1,0.0,7.0,7.0,,,,28.0,458.0,5.0,Ohio St.,http://www.pro-football-reference.com/players/M/McLaTe00.htm,72,210
12,2019,3,93,Miles Boykin,WR,22.0,BAL,2019.0,2019.0,0,0,1,0.0,7.0,6.0,,,,9.0,131.0,2.0,Notre Dame,http://www.pro-football-reference.com/players/B/BoykMi00.htm,76,220
16,2019,5,149,Hunter Renfrow,WR,23.0,OAK,2019.0,2019.0,0,0,0,0.0,7.0,1.0,,,,18.0,203.0,1.0,Clemson,http://www.pro-football-reference.com/players/R/RenfHu00.htm,70,185
17,2019,5,171,Darius Slayton,WR,22.0,NYG,2019.0,2019.0,0,0,0,0.0,6.0,3.0,,,,16.0,267.0,3.0,Auburn,http://www.pro-football-reference.com/players/S/SlayDa01.htm,73,190
